text,word,n,id,name,Comments,CL,keyword,DW notes,cbdsmokeshop,retailer,standalone_hashtag,sentence_hashtag,Keyword mentioned in post?,Amount of drug,sale,edible,food_product,gummies,drinks,tinctures,capsules,vape,flower,flavor_mentioned,concentrates,hemp,pet,noningestible,medical_claim,anxiety,skin,stress,cholesterol,effects_mentioned,giveaway,coupon,free_shipping,naturalness/organic,legal_high,review,popularity,website,physical_store_location,Premium,Tested,Delta 8 mentioned in post,handmade,Availability,Recipe,duplicate,RT,cbdsmokeshop_c,retailer_c,standalone_hashtag_c,sentence_hashtag_c,Keyword mentioned in post?_c,Amount of drug_c,sale_c,edible_c,food_product_c,gummies_c,drinks_c,tinctures_c,capsules_c,vape_c,flower_c,flavor_mentioned_c,concentrates_c,hemp_c,pet_c,noningestible_c,medical_claim_c,anxiety_c,skin_c,stress_c,cholesterol_c,effects_mentioned_c,giveaway_c,coupon_c,free_shipping_c,naturalness/organic_c,legal_high_c,review_c,popularity_c,website_c,physical_store_location_c,Premium_c,Tested_c,Delta 8 mentioned in post_c,handmade_c,Availability_c,Recipe_c,duplicate_c,RT_c,z_id_real
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Hemp Roast, Full Spectrum CBD Coffee 8 oz
This bag of Hakuna â€œAwakenâ€ Hemp Roast full spectrum CBD coffee. Contains 8oz of ground beans infused with a full https://t.co/EMeNGSs02a #cbdedibles #delta8 https://t.co/QabzMYccIP",edibles,17956,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, drink","product advertising, hashtag standalone ","hashtag standalone, sale, food/bev",1,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum CBD Infused Watermelon Slices use natural CBD hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 choice for many people wanting to https://t.co/HdHHbzQelL #cbdedibles #delta8 https://t.co/9iuI83FMfN,edibles,17956,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, fruit, flabor, natural, yummy, gummy, #1","product advertising, hashtag standalone","hashtag standalone, sale, food/bev",1,1,1,,0,0,1,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,0,0,0,0,1,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,12
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Avid Hempâ€™s Summertime CBD Oil Tinctures are the SUPERIOR choice. Meticulously handcrafted with care, for one who is looking for the immense variety of health https://t.co/Sew5GFiD8R #cbdedibles #delta8 https://t.co/tSL9Na23G5",edibles,17956,1.40E+18,CBDSmokeShop,"hashtag standalone, tinctures, sale","tincture, superior, handmade, health","not mentioned in post, hashtag standalone","hashtag standalone, tinctures, sale",1,1,1,,0,0,1,0,0,0,0,1,0,0,0,0,,1,0,0,1,0,,0,,1,0,0,0,0,0,,0,1,,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,13
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Sour Diesel Hemp Flower

 CANNABINOIDS: 15.33% CBD | 0% D-9 THC
 STRAIN TYPE: SATIVA | INDOOR
 EFFECTS: UPLIFTED, HAPPY, EUPHORIC

Sour Diesel CBD Flower: https://t.co/wHBTy6XQ16 #cbdedibles #delta8 https://t.co/m6TVXRuBnX",edibles,17956,1.42E+18,CBDSmokeShop,"hashtag standalone, flower","flower, amount of drug, strain, variety, happy","not mentioned in post, hashtag standalone","hashtag standalone, flower",1,1,1,,0,1,1,0,0,0,0,0,0,0,1,0,,1,0,0,1,0,,1,,1,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity R.A. Royal Gummies â€“ 300MG CBD Infused Sour Bears
CBD Gummies are the #1 CBD choice for many people wanting to take CBD oil (cannabidiol). R.A. Royal Gummies 300mg https://t.co/bCzuuR60vf #cbdedibles #delta8 https://t.co/0nR3FiGfbk",edibles,17956,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, gymmy, flavor, sour, #1","product advertising, hashtag standalone","hashtag standalone, sale, food/bev",1,1,1,,0,1,1,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,1,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum CBD Infused Watermelon Slices use natural CBD hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 choice for many people wanting to https://t.co/HdHHbzQelL #cbdedibles #delta8 https://t.co/51uLniA9Ef,cbdoil,17504,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, flavor, fruit, natural, yummy, #1","not mentioned in post, hashtag standalone","hashtag standalone, sale, food/bev",1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,16
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity REDUCE LDL CHOLESTEROL NATURALLY (IN JUST 10 DAYS) // Want to lower LDL #cholesterol levels? In this video I will show you how to lower your LDL ...
source https://t.co/IRYy4Z5dy3 #cbdedibles #delta8 https://t.co/GbWlgS4nue",cbdoil,17504,1.44E+18,CBDSmokeShop,"hashtag standalone, health claims ",reduced cholesterol,"not mentionre in post, hashtag standalone","hashtag standalone, health claims ",1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Persian Tea CBD Vape Oil E-Juice 30ML

A mellow black tea flavored CBD vape juice is infused with our custom blend proprietary cbd formula to deliver the best cbd https://t.co/P7BTAO5x6j #cbdedibles #delta8 https://t.co/lL9mvkkJJP",cbdoil,17504,1.41E+18,CBDSmokeShop,"hashtag standalone, vape, sale","vape, amount of drug, flavor, custom, best","not mentioned in post, hashtag standalone","hashtag standalone, vape, sale",1,1,1,,1,1,1,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,18
"We have
Â Delta 8 #thc! It's legal! https://t.co/j7CoovMIpg use my #couponCode MASSWON for 10% off &amp; #freeShipping

#delta8thc #delta8
#cbd #hempoil #cbdvape #vapingcbd #stress #stressrelief #reviewcbd #cbdreviews #cbd #cbdterps #cbdterpenes #cbdoil #mrbeast https://t.co/9og72lZIPb",cbdoil,17504,1.40E+18,CBD BEAST,"hashtag standalone, sale, legality","availability, legal status, coupon","not mentioned in post, hashtag standalone","hashtag standalone, sale, legality",0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,,1,0,1,1,0,1,,0,1,,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,19
"Yo. Dudes and dudettes we have
Â Delta 8 #thc! It's legal! https://t.co/jR9YYiAuhZ use my #couponCode MASSWON for 10% off &amp; #freeShipping

#delta8thc #delta8
#cbd #hempoil #cbdvape #vapingcbd #stress #stressrelief #reviewcbd #cbdreviews #cbd #cbdterps #cbdterpenes #cbdoil #mrbeast https://t.co/BmBIAKbYqj",cbdoil,17504,1.41E+18,Mass One,"hashtag standalone, sale","availability, legal status, coupon","not mentioned in post, hashtag standalone","hashtag standalone, sale",0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1,,1,0,1,1,0,1,,0,1,,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,20
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity This Spearmint CBD vape juice liquid blend comes in various strengths of 250mg, 500mg, 1000mg and 2000mg, and features a refreshing spearmint flavor profile. Delicious https://t.co/JEgvjBCCAB #cbdedibles #delta8 https://t.co/fJAbJSqacY",cannabiscommunity,17467,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, vape","vape, flavor, amount of drug, delicious","not mentioned in post, hashtag standalone, community","hashtag standalone, sale, vape",1,1,1,,0,1,1,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity V'Nilla Cream by Tinted Brew Liquid Co.- 60ml

V'Nilla Cream (formerly V'Nilla Cookies and Milk) s a deliciously rich Vanilla Wafer cookie dipped in a cold glass of https://t.co/fDR3aYgPmQ #cbdedibles #delta8 https://t.co/stDJzJ0Ked",cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, vape","edible, liquid, amount of drug, delicous","not mentioned in post, hashtag standalone, community","hashtag standalone, sale, vape",1,1,1,,0,1,1,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Itâ€™s like a buzz from the ice cream man with Orange Creamsicle CBD Gummies flavored Delta-8 THC Bites. Itâ€™s a delicious Orange Creamsicle gummy infused with Delta-8 https://t.co/GqLqJzFwXh #cbdedibles #delta8 https://t.co/PnBuBKQYX8,cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, flavor, delicous","not mentioned in post, hashtag standalone, community","hashtag standalone, sale, food/bev",1,1,1,,0,0,1,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,1,0,0,0,0,0,,0,1,,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity A simple recipe for CBD and/or THC gummies 2 small (4 serving) or one large (8 serving) prepared gelatine - I used a big box of strawberry jell-o. 3T gelatin 1/2 ... https://t.co/AVCM6Ibzen #cbdedibles #delta8 https://t.co/4O4bK3Y8YX,cannabiscommunity,17467,1.44E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","recipe, amount of drug","not mentioned in post, hashtag standalone, community","hashtag standalone, sale, food/bev",1,1,1,,0,1,0,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Koi CBD Soft Chews

Share the health benefits of CBD with your dogÂ with the Koi CBD Soft Chews!

The Koi CBD Soft Chews give your pet exactly what they deserve https://t.co/JkCnsiOYsJ #cbdedibles #delta8 https://t.co/WB9FG8gQFA",cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","pet, edible, health","not mentioned in post, hashtag standalone, community","hashtag standalone, sale, food/bev",1,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Beard Vape Co No. 71 - Sweet &amp; Sour Sugar Peach (60ml)

SourÂ candyÂ lovers rejoice!Â Beard Vape CompanyÂ has created the stand out flavor called No. 71Â e-liquid. https://t.co/Waq3K5z0tQ #cbdedibles #delta8 https://t.co/etLbGFURXV",prerolls,16739,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, vape","vape, flavor, sour","not mentioned in post, hashtag standalone","hashtag standalone, sale, vape",1,1,1,,0,1,1,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Our all-natural hemp oil salve contains 600mg full spectrum CBD and 100% organic ingredients. Including olive oil, coconut oil, and beeswax. No artificial ingredients https://t.co/Ly8mzBrY46 #cbdedibles #delta8 https://t.co/MeyvWL5Y0Q",prerolls,16739,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, lotion","salve, organic","not mentioned in post, hashtag standalone","hashtag standalone, sale, lotion",1,1,1,,0,1,1,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,,0,,0,0,0,0,1,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Chill Plus Full Spectrum Delta-8 CBD Oil - 1000X -Â  Now you can chill like never before with Delta-8 and finally see what all of the BUZZ is about. Delta Force CBD Oil https://t.co/8ZNCX8SNnm #cbdedibles #delta8 https://t.co/xAfFVVV6IM,prerolls,16739,1.41E+18,CBDSmokeShop,"hashtag standalone, sale","oil, chill, buzz","not mentioned in post, hashtag standalone","hashtag standalone, sale",1,1,1,,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,0,,1,0,0,0,0,0,,1,1,,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,28
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Take a wild trip to the islands and feel the buzz with Delta 8 CBD Mango Gummies. Itâ€™s a delicious Mango gummy infused with Delta-8 THC. Enjoy the flavor of Mango https://t.co/NYBSB8Dmky #cbdedibles #delta8 https://t.co/4NFDVuDuHP,prerolls,16739,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","buzz, gummy, fruit, flavor, delicious, edible","not mentioned in post, hashtag standalone","hashtag standalone, sale, food/bev",1,1,0,,0,0,1,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,1,0,0,0,0,0,,0,1,,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29
RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Take two CBD Delta-8 Poppin Gel capsules and call usâ€¦,prerolls,16739,1.43E+18,BestCBDOrganic,"hashtag standalone, sale, capsules","capsule, edible","not mentioned in post, hashtag standalone","hashtag standalone, sale, capsules",1,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum Softgels Capsules. With CBD hemp oil having a taste that can be difficult to swallow for some individuals, people looking for alternative methods to get https://t.co/4So23Oh4WR #cbdedibles #delta8 https://t.co/dqrShDQfYe",vapejuice,16612,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, capules","capsule, taste, alternative","not mentioned in post, hashtag standalone","hashtag standalone, sale, capules",1,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Nighttime Capsules 1,000mg 60 Ct. Avid Hempâ€™s 1,000mg CBD Nighttime Capsules provide a full spectrum profile. Of all cannabinoids and terpenes naturally found https://t.co/OkMkv2zpz9 #cbdedibles #delta8 https://t.co/tyTPYLujJA",vapejuice,16612,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, capsules","capsule, sleep, natural","not mentioned in post, hashtag standalone","hashtag standalone, sale, capsules",1,1,1,,0,1,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,,0,,1,0,0,0,1,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,32
